source_id,survey,wave,original_name,section,description,answer_categories_and_codes,filter,anonymisation_rule,source_document,source_location,extraction_method,review_status
EHIS-W3-ANON-RULES,EHIS,3,BIRTHPLACEMOTH,CORE SOCIAL VARIABLES,Country of birth of mother,Country code (SCL GEO code),Everybody,"Regrouped as follows: 10 Native-born 21 Born in another EU Member State 22 Born in a non-EU country – 1 Not stated Country-specific rule:• MT, IS and NO: codes 21 and 22 grouped together as code 21",EHIS wave 3 anonymisation rules.docx,"table 2, row 33",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HATLEVEL,CORE SOCIAL VARIABLES,Educational attainment level (highest level of education completed),Based on ISCED classification,Everybody,"unalteredCountry-specific rule for:• MT and IS: the following adaptations were done:› ISCED 0, 1 and 2 are grouped into one category (code 1)› ISCED 3 and 4 are grouped into one category (code 2)› ISCED 5, 6, 7 and 8 are grouped into one category (code 3)",EHIS wave 3 anonymisation rules.docx,"table 2, row 35",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,MAINSTAT,CORE SOCIAL VARIABLES,Self-declared labour status,10 Employed,Everybody,"unalteredCountry-specific rule for MT: codes 40, 50, 60, 70 and 80 are put together into the category 'Other' (code 80) IT: code 40 is put together into the category 'Other' (code 80)",EHIS wave 3 anonymisation rules.docx,"table 2, row 47",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,FT_PT,CORE SOCIAL VARIABLES,Full or part-time work main job (self-defined),1 Full-time job,MAINSTAT = 10,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 56",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,JOBSTAT,CORE SOCIAL VARIABLES,Status in employment in main job,11 Self-employed person with employees,MAINSTAT = 10,unaltered Country-specific rule for: • PT: 10 - Self-employed (11+12) 20 - Employee incl. family workers (20+30),EHIS wave 3 anonymisation rules.docx,"table 2, row 60",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,JOBISCO,CORE SOCIAL VARIABLES,Occupation in main job,ISCO-08 coded at 2-digit level,MAINSTAT = 10,kept with 1 digit,EHIS wave 3 anonymisation rules.docx,"table 2, row 66",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,LOCNACE,CORE SOCIAL VARIABLES,Economic activity of the local unit for main job (economic sector),NACE Rev. 2 at 1-digit level,MAINSTAT = 10,"Regrouped in 9 sectors groups: 1. Agriculture, forestry and fishing (NACE code A)2. Manufacturing, mining and quarrying and other industry (NACE codes B, C, D and E)3. Construction (NACE code F)4. Wholesale and retail trades, transport, information and communication, accommodation and food service activities (NACE codes G, H, I and J)5. Financial and insurance activities (NACE code K)6. Business services and real estate activities (NACE codes L, M and N)7. Public administration, defence, education, human health and social work activities (NACE codes O, P, and Q)8. Other services - NACE codes R, S, T and U-1. Unknown sectorCountry-specific rule:• MT: codes 1, 2 and 3 regrouped together as code 1 PT: Regrouped in 13 sectors groups: 1 Agriculture, forestry and fishing (NACE code A) 2 Manufacturing, mining and quarrying and other industry (NACE codes B, C, D and E) 3 Construction (NACE code F) 4 Wholesale and retail trades (NACE code G) 5 Transport (NACE code H) 6 Accommodation and food service activities (NACE code I) 7 Information and communication (NACE code J) 8 Financial and insurance activities (NACE code K) 9 Business services and real estate activities (NACE codes L, M and N) 10 Public administration, defence (NACE code O) 11 Education (NACE code P) 12 Human health and social work activities (NACE code Q) 13 Other services (NACE codes R, S, T and U)",EHIS wave 3 anonymisation rules.docx,"table 2, row 69",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PARTNERS,CORE SOCIAL VARIABLES,Partners living in the same household,1 Person living with a legal or de facto partner,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 72",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,MARSTALEGAL,CORE SOCIAL VARIABLES,Legal marital status,1 Never married and never been in a registered partnership,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 75",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HHNBPERS,CORE SOCIAL VARIABLES,Household size,Number of member of the household 1 – 98,Everybody,top coding (7 or more)Country-specific rule:• MT and IS: top coding is 6 or more,EHIS wave 3 anonymisation rules.docx,"table 2, row 80",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HHNBPERS_0_13,CORE SOCIAL VARIABLES,Number of persons aged 13 or younger,0 – 98,Everybody,"top coding (3 or more)Country-specific rule:• MT, SK, IS and NO: top coding is 2 or more",EHIS wave 3 anonymisation rules.docx,"table 2, row 82",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HHTYPE,CORE SOCIAL VARIABLES,Type of household,10 One-person household,Everybody,Regrouped answer categories: 1. One-person household (code 10) 2. Lone parent with at least one child aged less than 25 (code 21) 3. Couple without any children (code 31) 4. Couple with at least one child aged less than 25 (code 32) 5. Couple all children aged 25 or more (code 33) 6. Other (codes 22 and 40) -1. Not stated,EHIS wave 3 anonymisation rules.docx,"table 2, row 84",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HHINCOME,CORE SOCIAL VARIABLES,Net monthly equivalised income of the household,1 Below 1st quintile,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 92",OOXML table grid,EXTRACTED_UNREVIEWED
